id,handle,title,Collection
5,300-301-050-athens-oval-coffee-table,Athens Oval Coffee Table,Coffee Tables
15,300-301-005-cambourne-2-drawer-coffee-table,Cambourne 2 Drawer Coffee Table,Coffee Tables
27,300-301-007-cara-coffee-table,Cara Coffee Table,Coffee Tables
34,300-301-009-charisma-coffee-table,Charisma Coffee Table,Coffee Tables
36,300-301-010-charisma-coffee-table,Charisma Coffee Table,Coffee Tables
44,300-301-031-corona-1-drawer-coffee-table,Corona 1 Drawer Coffee Table,Coffee Tables
59,300-301-015-corona-1-drawer-coffee-table,Corona 1 Drawer Coffee Table,Coffee Tables
